Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,26,0,16,21.119192269207606,6.765042002371047,55.970958004763816,251.03846153846155,0.4478679402316315,0.0,17,19,33,37,41,55,56,56,56,56,56
GET,GET /api/food/logs?date=[past],4,0,11,10.198916503213695,4.7937500057742,13.244207999377977,2.0,0.06890276003563563,0.0,11,11,13,13,13,13,13,13,13,13,13
GET,GET /api/food/logs?date=[today],12,0,13,17.36585775021619,2.8355840040603653,67.44658300158335,1116.8333333333333,0.20670828010690687,0.0,14,14,16,16,31,67,67,67,67,67,67
GET,GET /api/onboarding/profile,5,0,17,18.013649999920744,8.301665999169927,30.989250000857282,658.2,0.08612845004454453,0.0,17,26,26,31,31,31,31,31,31,31,31
GET,GET /api/subscriptions/current,1,0,15.435541004990228,15.435541004990228,15.435541004990228,15.435541004990228,4.0,0.017225690008908907,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,GET /auth/me,6,0,7,20.89669466780227,4.151417000684887,63.44804100081092,223.5,0.10335414005345343,0.0,14,14,31,31,63,63,63,63,63,63,63
GET,GET /foods/,6,0,10,12.000729167387666,5.141916997672524,22.343707998516038,4741.666666666667,0.10335414005345343,0.0,13,13,13,13,22,22,22,22,22,22,22
GET,GET /meals/summary,7,7,35,32.13641628514909,11.61491599486908,69.45841599372216,21.0,0.12057983006236234,0.12057983006236234,35,37,41,41,69,69,69,69,69,69,69
GET,GET /nutrition-profile/,5,5,15,14.009674999397248,5.900249998376239,22.45045800373191,59.0,0.08612845004454453,0.08612845004454453,15,16,16,22,22,22,22,22,22,22,22
POST,POST /api/food/manual,9,0,18,20.758773331989588,8.688582995091565,47.763291993760504,210.88888888888889,0.15503121008018014,0.0,18,22,22,27,48,48,48,48,48,48,48
POST,POST /api/food/water,4,3,16,22.806323251643335,10.13812499877531,35.21741700387793,20.25,0.06890276003563563,0.05167707002672672,30,30,35,35,35,35,35,35,35,35,35
POST,POST /auth/login,200,181,26,56.89568455989502,18.064541996864136,236.0173749984824,82.695,3.445138001781781,3.117849891612512,26,36,73,83,180,190,190,190,240,240,240
POST,POST /auth/register,5,0,25,56.56240839889506,22.476915997685865,154.5369169980404,227.6,0.08612845004454453,0.0,25,58,58,150,150,150,150,150,150,150,150
,Aggregated,290,196,24,45.98682685514334,2.8355840040603653,236.0173749984824,252.14137931034483,4.9954501025835825,3.376235241746145,24,30,41,69,150,180,190,190,240,240,240
