Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774149848,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774149849,100,,Aggregated,0.000000,0.000000,140,180,240,260,300,330,340,340,340,340,340,165,38,140.0,146.91037275166087,5.134082995937206,342.01237500383286,332.46060606060604
1774149850,200,,Aggregated,0.000000,0.000000,39,100,170,190,290,310,330,340,340,340,340,267,138,39,103.81360132607901,5.134082995937206,342.01237500383286,225.1310861423221
1774149851,300,,Aggregated,0.000000,0.000000,52,62,100,170,250,300,330,340,340,340,340,369,238,52,90.23790315732087,5.134082995937206,342.01237500383286,179.39566395663957
1774149852,400,,Aggregated,165.000000,38.000000,52,60,66,100,220,290,330,340,340,340,340,471,338,52,81.93801074955084,5.134082995937206,342.01237500383286,151.70488322717623
1774149853,500,,Aggregated,133.500000,69.000000,57,93,100,100,180,280,310,330,340,340,340,571,438,57,85.07880024167136,5.134082995937206,342.01237500383286,133.5429071803853
1774149854,500,,Aggregated,133.500000,69.000000,57,93,100,100,180,280,310,330,340,340,340,571,438,57,85.07880024167136,5.134082995937206,342.01237500383286,133.5429071803853
1774149855,500,,Aggregated,114.200000,87.600000,57,93,100,100,180,280,310,330,340,340,340,573,438,57,84.86333954971384,5.134082995937206,342.01237500383286,134.32635253054102
1774149856,500,,Aggregated,95.166667,73.000000,57,93,100,100,180,280,310,330,340,340,340,574,438,57,84.73798885712274,5.134082995937206,342.01237500383286,136.89198606271776
1774149857,500,,Aggregated,81.571429,62.571429,56,93,100,100,180,280,310,330,340,340,340,579,439,56,84.14154134365342,5.134082995937206,342.01237500383286,149.7754749568221
1774149858,500,,Aggregated,71.625000,54.750000,56,92,100,100,180,280,310,330,340,340,340,583,439,56,83.71627404968588,5.134082995937206,342.01237500383286,156.63807890222984
1774149859,500,,Aggregated,71.625000,54.750000,56,92,100,100,180,280,310,330,340,340,340,584,439,56,83.58753292631177,5.134082995937206,342.01237500383286,156.37328767123287
1774149860,500,,Aggregated,58.100000,43.900000,56,92,100,100,180,280,310,330,340,340,340,589,440,56,83.02660176226051,5.134082995937206,342.01237500383286,157.40747028862478
1774149861,500,,Aggregated,58.100000,43.900000,56,92,100,100,180,280,310,330,340,340,340,590,440,56,82.93524318469898,5.134082995937206,342.01237500383286,157.14406779661016
1774149862,500,,Aggregated,32.100000,30.100000,55,92,100,100,180,280,310,330,340,340,340,594,440,55,82.48355727437382,5.134082995937206,342.01237500383286,159.55218855218854
1774149863,500,,Aggregated,22.100000,20.200000,55,91,100,100,180,280,310,330,340,340,340,596,440,55,82.25560643956406,5.134082995937206,342.01237500383286,162.79697986577182
1774149864,500,,Aggregated,11.900000,10.200000,55,90,99,100,180,270,310,330,340,340,340,601,440,55,81.66551050578865,5.134082995937206,342.01237500383286,171.79866888519135
