Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,196,0,14,36.39732312227092,2.9210419961600564,219.91633400466526,244.14285714285714,3.3180548835641583,0.0,14,18,24,34,130,180,200,220,220,220,220
GET,GET /api/food/logs?date=[past],27,0,12,20.074003000681166,5.022625002311543,157.90349999588216,94.92592592592592,0.4570789890624096,0.0,12,14,15,15,32,61,160,160,160,160,160
GET,GET /api/food/logs?date=[today],148,0,13,33.640791405314054,3.047082995180972,202.22841700160643,397.6283783783784,2.505470014119875,0.0,13,15,18,22,160,160,180,190,200,200,200
GET,GET /api/food/search,27,0,14,15.551902740197773,5.337582995707635,68.41700000222772,9.407407407407407,0.4570789890624096,0.0,14,15,15,17,22,23,68,68,68,68,68
GET,GET /api/onboarding/profile,48,0,13,41.74065270854044,5.669375001161825,207.56783399701817,654.5833333333334,0.8125848694442838,0.0,13,18,50,87,160,160,210,210,210,210,210
GET,GET /api/subscriptions/current,27,0,14,44.35276388971101,7.731707999482751,175.30295799952,94.14814814814815,0.4570789890624096,0.0,14,16,27,120,160,170,180,180,180,180,180
GET,GET /auth/me,38,0,10,31.849794947974214,4.881374996330123,155.47662500466686,221.6315789473684,0.6432963549767247,0.0,10,13,14,33,140,150,160,160,160,160,160
GET,GET /foods/,17,0,18,34.07004652998533,8.221999996749219,165.53900000144495,4656.823529411765,0.28779047459485047,0.0,18,25,27,38,110,170,170,170,170,170,170
GET,GET /meals/summary,24,12,14,17.79418391621827,3.306290993350558,54.80154199904064,136.08333333333334,0.4062924347221419,0.20314621736107094,15,17,19,19,29,47,55,55,55,55,55
GET,GET /nutrition-profile/,21,21,12,23.65073609585774,6.32387500081677,162.1720000039204,59.0,0.35550588038187414,0.35550588038187414,12,13,15,15,67,71,160,160,160,160,160
POST,POST /api/food/manual,103,0,17,23.56942361216479,6.27787499979604,194.50829199922737,210.0,1.7436716990158587,0.0,17,20,22,22,29,45,150,170,190,190,190
POST,POST /api/food/water,43,25,17,20.796424418391368,7.64033300220035,54.92324999795528,19.74418604651163,0.7279406122105042,0.42322128616889776,17,21,22,22,41,48,55,55,55,55,55
POST,POST /api/onboarding/save-step,18,0,18,56.02240972196645,9.137291999650188,300.36720800126204,656.7222222222222,0.3047193260416064,0.0,19,21,90,94,160,300,300,300,300,300,300
POST,POST /auth/login,200,39,290.0,283.0310814697805,150.56437499879394,430.5310410054517,344.205,3.385770289351182,0.6602252064234805,290,340,350,350,380,410,420,430,430,430,430
POST,POST /auth/register,3,0,49,67.870264002219,35.119375002977904,119.84333299915306,228.0,0.050786554340267735,0.0,49,49,120,120,120,120,120,120,120,120,120
,Aggregated,940,97,17,85.24364264257918,2.9210419961600564,430.5310410054517,361.0617021276596,15.913120359950556,1.6420985903353233,17,39,160,190,300,350,380,410,430,430,430
